ItemId,Picture,Name,Description,Price,Discount
1083,https://example.com/item83.jpg,Portable Power Bank,"High-capacity portable power bank for charging devices on the go",49.99,0
1084,https://example.com/item84.jpg,Bluetooth Audio Adapter,"Wireless Bluetooth audio adapter for streaming music to speakers",19.99,5
1085,https://example.com/item85.jpg,Smart Home Security Camera,"WiFi-enabled smart home security camera with motion detection",79.99,0
1086,https://example.com/item86.jpg,USB-C Docking Station,"Universal USB-C docking station for multiple device connections",99.99,0
1087,https://example.com/item87.jpg,Wireless Presenter with Laser Pointer,"Presentation remote with built-in laser pointer",29.99,0
1088,https://example.com/item88.jpg,Bluetooth Neckband Headphones,"Wireless neckband headphones with magnetic earbuds",39.99,0
1089,https://example.com/item89.jpg,Smart Wi-Fi Router,"High-performance smart Wi-Fi router for fast and reliable internet",129.99,0
1090,https://example.com/item90.jpg,Portable Bluetooth Speaker,"Compact portable Bluetooth speaker for music on the go",29.99,0
1091,https://example.com/item91.jpg,Wireless Keyboard,"Slim wireless keyboard for comfortable typing",24.99,0
1092,https://example.com/item92.jpg,Bluetooth Receiver,"Bluetooth audio receiver for wireless music streaming",19.99,5
1093,https://example.com/item93.jpg,USB-C Charging Cable,"Durable USB-C charging cable for fast and reliable charging",12.99,0
1094,https://example.com/item94.jpg,Smart Door Lock,"Keyless smart door lock with touchscreen and app control",149.99,0
1095,https://example.com/item95.jpg,Wireless Earbuds,"True wireless earbuds with noise cancellation",79.99,0
1096,https://example.com/item96.jpg,Gaming Mouse,"High-precision gaming mouse with customizable RGB lighting",59.99,0
1097,https://example.com/item97.jpg,Portable Bluetooth Keyboard,"Compact and foldable Bluetooth keyboard for mobile devices",34.99,0
1098,https://example.com/item98.jpg,Smart Thermostat,"Wi-Fi-enabled smart thermostat for home temperature control",129.99,0
1099,https://example.com/item99.jpg,USB-C Hub,"Multi-port USB-C hub for connecting peripherals to laptops",49.99,0
1100,https://example.com/item100.jpg,Wireless Charging Pad,"Qi-compatible wireless charging pad for smartphones",24.99,5
1101,https://example.com/item101.jpg,Bluetooth Headset,"Wireless Bluetooth headset for hands-free calls",39.99,0
1102,https://example.com/item102.jpg,External SSD,"Portable external SSD for fast data transfer and storage",149.99,0
1103,https://example.com/item103.jpg,Smart LED Bulb,"Wi-Fi-enabled smart LED bulb with adjustable brightness and color",19.99,0
1104,https://example.com/item104.jpg,Bluetooth Karaoke Microphone,"Wireless Bluetooth karaoke microphone for singing and recording",29.99,0
1105,https://example.com/item105.jpg,Wireless Gaming Controller,"Bluetooth gaming controller for consoles and mobile devices",49.99,0
1106,https://example.com/item106.jpg,Wireless Charging Car Mount,"Auto-clamping wireless charging car mount for smartphones",39.99,0
1107,https://example.com/item107.jpg,Bluetooth Fitness Earbuds,"Wireless earbuds with built-in heart rate monitor for fitness tracking",89.99,0
1108,https://example.com/item108.jpg,Smart Home Starter Kit,"All-in-one smart home starter kit with hub and devices",199.99,0
1109,https://example.com/item109.jpg,Wireless Ergonomic Mouse,"Ergonomic wireless mouse with adjustable DPI settings",29.99,0
1110,https://example.com/item110.jpg,Portable Bluetooth Speaker,"Waterproof portable Bluetooth speaker with long battery life",59.99,0
1111,https://example.com/item111.jpg,USB-C Power Adapter,"Compact USB-C power adapter for fast charging",19.99,5
1112,https://example.com/item112.jpg,Wireless Charging Mouse Pad,"Mouse pad with built-in wireless charger for compatible devices",34.99,0
1113,https://example.com/item113.jpg,Smart Doorbell,"Video doorbell with motion detection and two-way audio",129.99,0
1114,https://example.com/item114.jpg,Bluetooth Soundbar,"Wireless Bluetooth soundbar for enhanced audio experience",79.99,0
1115,https://example.com/item115.jpg,Wireless Keyboard and Mouse Set,"Full-size wireless keyboard and mouse combo",49.99,0
1116,https://example.com/item116.jpg,Smart Fitness Tracker,"Fitness tracker with heart rate monitor and activity tracking",79.99,0
1117,https://example.com/item117.jpg,Portable Power Bank,"High-capacity portable power bank for charging devices on the go",39.99,0
1118,https://example.com/item118.jpg,Bluetooth In-Ear Headphones,"Wireless Bluetooth in-ear headphones with noise isolation",69.99,0
1119,https://example.com/item119.jpg,USB-C Docking Station,"Multi-port USB-C docking station for laptop connectivity",89.99,0
1120,https://example.com/item120.jpg,Smart Wi-Fi Plug,"Wi-Fi-enabled smart plug for remote control of devices",24.99,5
